datetime	caudal
2014-07-01	15.0609163
2014-07-02	14.32972
2014-07-03	13.6525723
2014-07-04	13.6525723
2014-07-05	13.0294732
2014-07-06	13.4388672
2014-07-07	20.9469548
2014-07-08	34.6546688
2014-07-09	20.5831147
2014-07-10	16.97723
2014-07-11	15.8461612
2014-07-12	14.5674467
2014-07-13	13.8722828
2014-07-14	15.5784075
2014-07-15	21.6926512
2014-07-16	17.8885883
2014-07-17	18.2043852
2014-07-18	19.1878083
2014-07-19	18.2043852
2014-07-20	17.8885883
2014-07-21	25.3455523
2014-07-22	19.8734507
2014-07-23	17.2750107
2014-07-24	16.1199203
2014-07-25	17.2750107
2014-07-26	16.97723
2014-07-27	15.5784075
2014-07-28	15.5784075
2014-07-29	16.97723
2014-07-30	15.8461612
2014-07-31	14.8111788
2014-08-01	14.32972
2014-08-02	13.8722828
2014-08-03	13.6525723
2014-08-04	13.2311675
2014-08-05	13.8722828
2014-08-06	20.22528
2014-08-07	21.3168003
2014-08-08	16.97723
2014-08-09	15.3166592
2014-08-10	15.5784075
2014-08-11	14.8111788
2014-08-12	14.5674467
2014-08-13	16.3996848
2014-08-14	16.6854547
2014-08-15	15.0609163
2014-08-16	21.6926512
2014-08-17	22.4623692
2014-08-18	17.5787968
2014-08-19	16.97723
2014-08-20	15.3166592
2014-08-21	14.8111788
2014-08-22	13.8722828
2014-08-23	13.4388672
2014-08-24	12.8337843
2014-08-25	13.0294732
2014-08-26	13.2311675
2014-08-27	12.8337843
2014-08-28	12.28275
2014-08-29	12.28275
2014-08-30	12.8337843
2014-08-31	13.8722828
2014-09-01	12.28275
2014-09-02	11.9454208
2014-09-03	12.1110827
2014-09-04	11.6321132
2014-09-05	11.4844675
2014-09-06	11.2071923
2014-09-07	10.83632
2014-09-08	10.9539387
2014-09-09	10.7247067
2014-09-10	10.7247067
2014-09-11	10.5194963
2014-09-12	11.6321132
2014-09-13	13.2311675
2014-09-14	14.0979987
2014-09-15	19.5276268
2014-09-16	22.0745075
2014-09-17	15.3166592
2014-09-18	13.2311675
2014-09-19	12.4604227
2014-09-20	12.6441008
2014-09-21	14.0979987
2014-09-22	13.0294732
2014-09-23	18.5261875
2014-09-24	15.0609163
2014-09-25	13.2311675
2014-09-26	12.28275
2014-09-27	12.6441008
2014-09-28	11.9454208
2014-09-29	11.7857643
2014-09-30	11.4844675
2014-10-01	11.9454208
2014-10-02	12.28275
2014-10-03	11.9454208
2014-10-04	11.9454208
2014-10-05	11.6321132
2014-10-06	11.4844675
2014-10-07	11.9454208
2014-10-08	21.3168003
2014-10-09	16.1199203
2014-10-10	25.3455523
2014-10-11	58.2383408
2014-10-12	77.3803507
2014-10-13	43.5353483
2014-10-14	28.523
2014-10-15	29.4848908
2014-10-16	31.4807372
2014-10-17	28.523
2014-10-18	24.9156528
2014-10-19	20.9469548
2014-10-20	19.1878083
2014-10-21	19.1878083
2014-10-22	19.8734507
2014-10-23	17.5787968
2014-10-24	17.2750107
2014-10-25	19.8734507
2014-10-26	18.5261875
2014-10-27	17.8885883
2014-10-28	15.3166592
2014-10-29	15.5784075
2014-10-30	16.1199203
2014-10-31	15.3166592
2015-01-12	13.2311675
2015-01-13	12.8337843
2015-01-14	12.4604227
2015-01-15	11.9454208
2015-01-16	11.6321132
2015-01-17	13.6525723
2015-01-18	14.32972
2015-01-19	16.6854547
2015-01-20	20.22528
2015-01-21	40.4249868
2015-01-22	48.1420812
2015-01-23	33.0406787
2015-01-24	39.22288
2015-01-25	29.4848908
2015-01-26	21.3168003
2015-01-27	23.2561088
2015-01-28	29.4848908
2015-01-29	20.22528
2015-01-30	18.2043852
2015-01-31	18.8539952
2015-02-01	22.8562363
2015-02-02	21.6926512
2015-02-03	20.22528
2015-02-04	20.22528
2015-02-05	20.5831147
2015-02-06	17.8885883
2015-02-07	17.8885883
2015-02-08	21.3168003
2015-02-09	22.0745075
2015-02-10	19.8734507
2015-02-11	15.3166592
2015-02-12	14.32972
2015-02-13	13.6525723
2015-02-14	14.8111788
2015-02-15	14.5674467
2015-02-16	16.1199203
2015-02-17	14.5674467
2015-02-18	13.4388672
2015-02-19	13.0294732
2015-02-20	12.8337843
2015-02-21	12.28275
2015-02-22	12.1110827
2015-02-23	11.9454208
2015-02-24	11.7857643
2015-02-25	18.2043852
2015-02-26	13.4388672
2015-02-27	12.4604227
2015-02-28	12.28275
2015-03-01	12.1110827
2015-03-02	14.32972
2015-03-03	20.5831147
2015-03-04	18.2043852
2015-03-05	15.5784075
2015-03-06	13.6525723
2015-03-07	13.0294732
2015-03-08	13.0294732
2015-03-09	12.6441008
2015-03-10	13.4388672
2015-03-11	18.8539952
2015-03-12	14.32972
2015-03-13	13.6525723
2015-03-14	13.4388672
2015-03-15	17.5787968
2015-03-16	15.5784075
2015-03-17	15.0609163
2015-03-18	29.0009427
2015-03-19	35.7606892
2015-03-20	43.5353483
2015-03-21	34.1106667
2015-03-22	27.5851308
2015-03-23	24.4917587
2015-03-24	24.07387
2015-03-25	42.9012652
2015-03-26	57.4781443
2015-03-27	35.2046763
2015-03-28	25.7814572
2015-03-29	66.1706028
2015-03-30	55.2335872
2015-03-31	37.4647603
2015-04-01	30.9727675
2015-04-02	26.6712832
2015-04-03	32.5146928
2015-04-04	23.6619867
2015-04-05	21.3168003
2015-04-06	20.9469548
2015-04-07	19.8734507
2015-04-08	19.5276268
2015-04-09	18.2043852
2015-04-10	17.2750107
2015-04-11	16.97723
2015-04-12	18.5261875
2015-04-13	19.5276268
2015-04-14	17.5787968
2015-04-15	19.1878083
2015-04-16	26.2233675
2015-04-17	30.9727675
2015-04-18	30.9727675
2015-04-19	30.4708032
2015-04-20	25.3455523
2015-04-21	28.0510627
2015-04-22	29.9748443
2015-04-23	23.2561088
2015-04-24	29.0009427
2015-04-25	35.7606892
2015-04-26	49.5123392
2015-04-27	50.9066188
2015-04-28	36.8907312
2015-04-29	33.57267
2015-04-30	36.8907312
2015-05-01	26.6712832
2015-05-02	24.07387
2015-05-03	24.9156528
2015-05-04	48.1420812
2015-05-05	34.1106667
2015-05-06	24.4917587
2015-05-07	21.3168003
2015-05-08	19.1878083
2015-05-09	19.1878083
2015-05-10	18.5261875
2015-05-11	17.8885883
2015-05-12	19.1878083
2015-05-13	22.8562363
2015-05-14	25.3455523
2015-05-15	23.2561088
2015-05-16	19.5276268
2015-05-17	21.3168003
2015-05-18	19.5276268
2015-05-19	21.3168003
2015-05-20	19.1878083
2015-05-21	19.1878083
2015-05-22	20.22528
2015-05-23	18.5261875
2015-05-24	18.8539952
2015-05-25	16.6854547
2015-05-26	17.5787968
2015-05-27	15.8461612
2015-05-28	15.8461612
2015-05-29	16.1199203
2015-05-30	19.1878083
2015-05-31	16.3996848
2015-06-01	15.8461612
2015-06-02	15.3166592
2015-06-03	15.5784075
2015-06-04	15.8461612
2015-06-05	21.3168003
2015-06-06	27.5851308
2015-06-07	22.4623692
2015-06-08	31.4807372
2015-06-09	30.9727675
2015-06-10	24.4917587
2015-06-11	21.6926512
2015-06-12	19.1878083
