datetime	caudal
2015-03-18	21.37
2015-03-19	29.33
2015-03-21	41.59
2015-03-22	25.04
2015-03-23	18.92
2015-03-24	15.24
2015-03-25	14.01
2015-03-26	39.14
2015-03-27	26.88
2015-03-28	17.69
2015-03-29	41.59
2015-03-30	28.72
2015-03-31	21.98
2015-04-01	26.27
2015-04-02	36.69
2015-04-03	30.56
2015-04-04	18.92
2015-04-05	18.92
2015-04-06	26.88
2015-04-07	45.26
2015-04-08	32.40
2015-04-09	23.82
2015-04-10	25.66
2015-04-11	43.43
2015-04-12	37.30
2015-04-13	38.52
2015-04-14	29.95
2015-04-15	27.50
2015-04-16	18.30
2015-04-17	16.47
2015-04-18	16.47
2015-04-19	15.85
2015-04-20	12.18
2015-04-21	10.34
2015-04-22	27.50
2015-04-30	45.26
2015-05-01	32.40
2015-05-02	25.66
2015-05-03	21.37
2015-05-04	23.82
2015-05-05	23.21
2015-05-06	20.14
2015-05-07	18.92
2015-05-08	15.85
2015-05-09	31.78
2015-05-10	37.91
2015-05-15	42.81
2015-05-16	31.78
2015-05-17	49.55
2015-05-18	47.72
2015-05-19	36.07
2015-05-20	25.04
2015-05-22	32.40
2015-05-23	27.50
2015-05-24	29.33
2015-05-25	20.14
2015-05-26	18.30
2015-05-27	21.37
2015-05-28	23.21
2015-05-29	30.56
2015-05-30	25.66
2015-05-31	31.17
2015-06-01	25.66
2015-06-02	18.92
2015-06-03	27.50
2015-06-07	45.88
2015-06-09	40.36
2015-06-10	36.07
2015-06-11	33.01
2015-06-14	37.91
2015-06-15	26.27
2015-06-22	36.69
2015-06-23	31.78
2015-06-30	44.65
2015-07-01	36.69
2015-07-02	33.62
2015-07-03	34.85
2015-07-04	48.94
2015-07-06	45.26
2015-07-07	36.07
2015-07-08	48.94
2015-07-09	38.52
2015-07-11	47.10
2015-07-12	48.33
2015-07-13	41.59
2015-07-14	26.27
2015-07-15	21.98
2015-07-16	48.94
2015-07-17	31.78
2015-07-18	45.88
2015-07-20	27.50
2015-07-21	21.37
2015-07-24	41.59
2015-07-25	33.01
2015-07-26	45.88
2015-08-03	39.75
2015-08-04	36.69
