comid;latitude;longitude;river;location1;location2
9022907;0.19852;-78.94238;Rio Mashpi;PICHINCHA;QUITO
9022910;0.20165;-75.96534;;SUCUMBIOS;PUTUMAYO
9022926;0.25391;-79.24116;Rio Sabalo;PICHINCHA;PUERTO QUITO
9022935;0.21594;-76.79348;;SUCUMBIOS;LAGO AGRIO
9022936;0.2053;-76.62175;;SUCUMBIOS;LAGO AGRIO
9022937;0.1868;-78.92153;Rio Mashpi;PICHINCHA;QUITO
9022945;0.27725;-77.66207;Rio Cofane;SUCUMBIOS;SUCUMBIOS
9022946;0.2228;-77.59042;Rio Cofane;SUCUMBIOS;GONZALO PI
9022951;0.18613;-79.97541;;MANABI;PEDERNALES
9022965;0.22077;-77.04534;;SUCUMBIOS;LAGO AGRIO
9022970;0.2034;-79.33022;Rio Blanco;ESMERALDAS;QUININDE
9022977;0.23491;-79.73001;Rio Dogola;MANABI;PEDERNALES
9022981;0.1809;-78.70279;Rio Tulipe;PICHINCHA;QUITO
9022986;0.18278;-76.30308;;SUCUMBIOS;LAGO AGRIO
9022991;0.19674;-77.79419;Rio Agua C;SUCUMBIOS;GONZALO PI
9023002;0.19654;-76.18664;;SUCUMBIOS;PUTUMAYO
9023004;0.18446;-79.50959;Rio Mache;ESMERALDAS;QUININDE
9023017;0.15856;-76.18609;;SUCUMBIOS;PUTUMAYO
9023025;0.157;-79.69493;Rio Chemer;MANABI;PEDERNALES
9023026;0.19269;-78.74316;Rio Chirap;PICHINCHA;QUITO
9023037;0.15921;-79.29313;Rio Caoni;PICHINCHA;PUERTO QUITO
9023038;0.15524;-79.2507;Rio Silanc;PICHINCHA;PUERTO QUITO
9023065;0.15667;-79.94901;Rio Chebe;MANABI;PEDERNALES
9023068;0.18158;-76.5137;Rio Ucano;SUCUMBIOS;LAGO AGRIO
9023072;0.15852;-79.99099;Estero Arr;MANABI;PEDERNALES
9023082;0.16915;-77.70846;Rio El Dor;SUCUMBIOS;SUCUMBIOS
9023083;0.15648;-77.67819;Rio Cofane;SUCUMBIOS;SUCUMBIOS
9023089;0.17178;-76.97301;Rio Conejo;SUCUMBIOS;LAGO AGRIO
9023092;0.14851;-78.44414;Rio Perlav;PICHINCHA;QUITO
9023095;0.17602;-79.54968;Rio Quinin;ESMERALDAS;QUININDE
9023099;0.12987;-78.44896;Rio Guayll;PICHINCHA;QUITO
9023105;0.13804;-78.40154;Rio Cubi;PICHINCHA;QUITO
9023111;0.15749;-78.68134;Rio Alambi;PICHINCHA;QUITO
9023119;0.15804;-75.90118;;SUCUMBIOS;PUTUMAYO
9023122;0.12621;-79.56785;Rio Quinin;ESMERALDAS;QUININDE
9023123;0.12386;-78.64969;Rio Saguan;PICHINCHA;QUITO
9023137;0.14807;-79.63139;Rio Dogola;MANABI;PEDERNALES
9023142;0.16694;-77.46675;Rio Aguari;SUCUMBIOS;GONZALO PI
9023143;0.11823;-77.4092;;SUCUMBIOS;GONZALO PI
9023154;0.15448;-78.56293;Rio Guayll;PICHINCHA;QUITO
9023158;0.126;-79.25876;Rio Caoni;PICHINCHA;PUERTO QUITO
9023165;0.12287;-77.7043;;SUCUMBIOS;GONZALO PI
9023189;0.13681;-79.3265;Rio Blanco;PICHINCHA;PUERTO QUITO
9023190;0.12939;-76.00758;Rio San Mi;SUCUMBIOS;PUTUMAYO
9023210;0.1059;-77.3996;;SUCUMBIOS;GONZALO PI
9023224;0.09838;-79.17923;Rio Caoni;PICHINCHA;PUERTO QUITO
9023238;0.09052;-77.40754;Rio Candue;SUCUMBIOS;GONZALO PI
9023249;0.08532;-79.60713;Estero Pue;MANABI;PEDERNALES
9023250;0.10111;-79.58255;Rio Quinin;ESMERALDAS;QUININDE
9023256;0.10561;-79.55686;Rio Conejo;ESMERALDAS;QUININDE
9023270;0.08416;-77.3812;;SUCUMBIOS;GONZALO PI
9023278;0.08785;-79.33192;Rio Abunda;PICHINCHA;PUERTO QUITO
9023296;0.08796;-77.55586;Rio Quecun;SUCUMBIOS;GONZALO PI
9023304;0.06715;-77.18744;;SUCUMBIOS;CASCALES
9023309;0.11225;-79.4856;Rio Cucara;ESMERALDAS;QUININDE
9023312;0.07982;-79.35334;Rio Blanco;ESMERALDAS;QUININDE
9023320;0.06656;-78.16388;Quebrada M;PICHINCHA;PEDRO MONC
9023321;0.10068;-78.10301;Rio La Chi;PICHINCHA;CAYAMBE
9023329;0.05995;-77.19741;;SUCUMBIOS;CASCALES
9023345;0.0847;-75.82626;;SUCUMBIOS;PUTUMAYO
9023346;0.05212;-75.79526;;SUCUMBIOS;PUTUMAYO
9023352;0.06275;-77.28996;Rio Aguari;SUCUMBIOS;GONZALO PI
9023370;0.08327;-78.66449;Rio Alambi;PICHINCHA;QUITO
9023374;0.07091;-79.17919;Rio Achiot;PICHINCHA;PUERTO QUITO
9023381;0.05463;-75.6708;;;
9023387;0.04189;-75.72615;;;
9023391;0.05215;-77.14052;;SUCUMBIOS;CASCALES
9023392;0.05193;-77.00636;;SUCUMBIOS;LAGO AGRIO
9023394;0.04478;-77.2082;;SUCUMBIOS;CASCALES
9023398;0.08129;-78.42774;Rio Guayll;PICHINCHA;QUITO
9023417;0.03081;-77.10868;;SUCUMBIOS;CASCALES
9023422;0.03983;-79.31088;Rio Salaza;PICHINCHA;PUERTO QUITO
9023424;0.08705;-78.88672;Rio Pachij;PICHINCHA;QUITO
9023426;0.06095;-77.87502;Rio Azuela;PICHINCHA;CAYAMBE
9023441;0.03572;-76.2615;;SUCUMBIOS;PUTUMAYO
9023442;0.03131;-76.19795;;SUCUMBIOS;PUTUMAYO
9023453;0.01669;-77.66046;;SUCUMBIOS;GONZALO PI
9023462;0.04807;-79.61329;Rio Quinin;ESMERALDAS;QUININDE
9023463;0.02944;-75.83204;Rio Papaya;SUCUMBIOS;PUTUMAYO
9023468;0.02952;-75.62364;;;
9023470;0.01232;-79.62249;Estero Yah;MANABI;CHONE
9023471;0.03567;-79.36659;Rio Blanco;PICHINCHA;PUERTO QUITO
9023477;0.03254;-78.16861;Rio Granob;PICHINCHA;PEDRO MONC
9023481;0.02267;-78.67621;Rio Alambi;PICHINCHA;QUITO
9023482;0.00627;-78.17433;Rio Guacha;PICHINCHA;CAYAMBE
9023501;0.03305;-77.43345;Rio Due;SUCUMBIOS;GONZALO PI
9023507;0.00762;-77.65756;;SUCUMBIOS;GONZALO PI
9023508;0.02688;-77.58698;Rio Due Gr;SUCUMBIOS;GONZALO PI
9023529;0.01272;-79.66966;Estero Yah;MANABI;CHONE
9023530;0.00154;-79.63503;Estero Yah;MANABI;CHONE
9023531;-0.00107;-78.16975;;PICHINCHA;CAYAMBE
9023552;0.02352;-78.62347;Rio Pichan;PICHINCHA;QUITO
9023553;0.00535;-78.1436;Rio Guacha;PICHINCHA;CAYAMBE
9023569;-0.00017;-79.61093;Rio Quinin;ESMERALDAS;QUININDE
9023575;-0.0177;-79.65919;Estero Yah;MANABI;CHONE
9023580;-0.01707;-78.82104;Rio Saloya;PICHINCHA;SAN MIGUEL
9023581;0.00106;-76.97885;;SUCUMBIOS;LAGO AGRIO
9023582;0.00604;-76.3916;;SUCUMBIOS;LAGO AGRIO
9023588;-0.02298;-76.38894;;SUCUMBIOS;LAGO AGRIO
9023597;0.0397;-76.76197;;SUCUMBIOS;LAGO AGRIO
9023612;-0.00886;-76.19375;Rio Cuyabe;SUCUMBIOS;PUTUMAYO
9023615;-0.01506;-79.63344;Rio Quebra;MANABI;CHONE
9023616;-0.01527;-79.33523;Rio Como H;ESMERALDAS;LA CONCORD
9023624;-0.0038;-78.40209;Rio Guayll;PICHINCHA;PEDRO MONC
9023625;-0.00926;-78.2806;Rio Pisque;PICHINCHA;CAYAMBE
9023632;0.04738;-79.48033;Rio Mache;ESMERALDAS;QUININDE
9023633;-0.03332;-76.69703;;SUCUMBIOS;LAGO AGRIO
9023634;-0.0333;-76.26967;;SUCUMBIOS;PUTUMAYO
9023649;-0.0333;-77.32372;Rio Dashin;SUCUMBIOS;GONZALO PI
9023654;-0.01112;-80.07416;Rio Cuaque;MANABI;PEDERNALES
9023659;-0.01333;-77.88363;Rio Huatar;PICHINCHA;CAYAMBE
9023684;-0.00012;-79.90547;Rio Cuaque;MANABI;PEDERNALES
9023685;-0.03463;-76.6087;;SUCUMBIOS;SHUSHUFINDI
9023686;-0.011;-76.57831;;SUCUMBIOS;LAGO AGRIO
9023691;-0.04621;-78.38774;Rio Guayll;PICHINCHA;QUITO
9023694;-0.03838;-79.60969;Rio Quinin;ESMERALDAS;LA CONCORD
9023709;-0.04913;-78.36601;Rio Coyago;PICHINCHA;QUITO
9023716;-0.04212;-78.09705;Rio Guacha;PICHINCHA;CAYAMBE
9023743;-0.02505;-78.44281;Rio Villor;PICHINCHA;QUITO
9023746;-0.05273;-78.74466;Rio Mindo;PICHINCHA;SAN MIGUEL
9023765;-0.06898;-77.80951;Rio Cascab;NAPO;EL CHACO
9023766;-0.00924;-77.79407;Rio Salado;NAPO;EL CHACO
9023769;-0.04786;-78.12111;Rio Poroto;PICHINCHA;CAYAMBE
9023794;-0.0235;-78.99284;Rio Blanco;PICHINCHA;SAN MIGUEL
9023798;-0.06884;-80.07017;Rio San Jo;MANABI;PEDERNALES
9023799;-0.0579;-78.82984;Rio Saloya;PICHINCHA;SAN MIGUEL
9023807;-0.07283;-78.37974;Rio Guayll;PICHINCHA;QUITO
9023808;-0.08654;-75.90671;;SUCUMBIOS;PUTUMAYO
9023812;-0.06674;-77.24541;;ORELLANA;ORELLANA
9023813;-0.07217;-76.02848;;SUCUMBIOS;PUTUMAYO
9023815;-0.09687;-77.20688;;ORELLANA;ORELLANA
9023816;-0.07731;-79.57799;Rio Guabal;ESMERALDAS;LA CONCORD
9023817;-0.09603;-80.04976;Rio Taviaz;MANABI;PEDERNALES
9023818;-0.09597;-75.92668;;SUCUMBIOS;PUTUMAYO
9023821;-0.09389;-78.36346;Rio Uravia;PICHINCHA;QUITO
9023822;-0.07849;-79.60611;Rio Quinin;MANABI;CHONE
9023823;-0.09857;-78.82932;Rio Virgin;PICHINCHA;SAN MIGUEL
9023831;-0.08272;-76.68935;;SUCUMBIOS;LAGO AGRIO
9023833;-0.08598;-76.11771;Rio Cuyabe;SUCUMBIOS;PUTUMAYO
9023841;-0.05572;-79.30923;Rio Blanco;SANTO DOMINGO;SANTO DOMINGO
9023845;-0.10472;-79.18879;Rio Blanco;SANTO DOMINGO;SANTO DOMINGO
9023846;-0.1074;-78.97351;Rio Cocani;PICHINCHA;SAN MIGUEL
9023847;-0.08507;-75.66782;Quebrada T;SUCUMBIOS;PUTUMAYO
9023855;-0.10626;-78.32093;Rio Uravia;PICHINCHA;QUITO
9023860;-0.09814;-79.07125;Rio Mulaut;SANTO DOMINGO;SANTO DOMINGO
9023861;-0.06033;-75.44687;;;
9023870;-0.10669;-78.38022;Rio Guayll;PICHINCHA;QUITO
9023875;-0.11536;-79.22624;Rio Toachi;SANTO DOMINGO;SANTO DOMINGO
9023876;-0.12107;-75.27353;;;
9023886;-0.12579;-76.35407;;SUCUMBIOS;CUYABENO
9023888;-0.10055;-76.79048;Rio Eno;SUCUMBIOS;LAGO AGRIO
9023900;-0.11688;-78.33904;Rio Cartag;PICHINCHA;QUITO
9023902;-0.12223;-76.28672;;SUCUMBIOS;CUYABENO
9023906;-0.13111;-76.30513;Rio Aguas;SUCUMBIOS;CUYABENO
9023908;-0.12867;-79.18386;Rio Meme;SANTO DOMINGO;SANTO DOMINGO
9023914;-0.08418;-76.54448;;SUCUMBIOS;SHUSHUFINDI
9023934;-0.13078;-78.38747;Rio Guayll;PICHINCHA;QUITO
9023935;-0.13112;-76.58507;Rio Eno;SUCUMBIOS;SHUSHUFINDI
9023943;-0.11951;-80.07114;Rio San Jo;MANABI;PEDERNALES
9023944;-0.13726;-79.12482;Rio Meme G;SANTO DOMINGO;SANTO DOMINGO
9023951;-0.11938;-79.78936;Rio Mongoy;MANABI;FLAVIO ALF
9023955;-0.12559;-79.62153;Rio Quinin;MANABI;CHONE
9023956;-0.09229;-79.48646;Rio Bua;ESMERALDAS;LA CONCORD
9023957;-0.10206;-77.3324;Rio Coca;NAPO;EL CHACO
9023968;-0.13786;-76.34234;;SUCUMBIOS;CUYABENO
9023977;-0.13801;-75.27845;;;
9023983;-0.14852;-79.70702;Rio Tigre;MANABI;FLAVIO ALF
9023989;-0.13069;-79.58002;Rio Chila;MANABI;EL CARMEN
9023995;-0.15404;-80.21468;;MANABI;JAMA
9024000;-0.12196;-75.98311;;SUCUMBIOS;PUTUMAYO
9024004;-0.14511;-79.67455;Rio Mongoy;MANABI;FLAVIO ALF
9024009;-0.1589;-79.64249;Rio Mongoy;MANABI;CHONE
9024013;-0.13811;-75.44231;Rio Geppi;SUCUMBIOS;PUTUMAYO
9024016;-0.1356;-75.78936;;SUCUMBIOS;CUYABENO
9024017;-0.14051;-75.63976;;SUCUMBIOS;CUYABENO
9024043;-0.16039;-78.40852;Rio San Pe;PICHINCHA;QUITO
9024050;-0.17095;-79.66894;Estero Tri;MANABI;FLAVIO ALF
9024067;-0.16426;-76.11095;Rio Aguas;SUCUMBIOS;CUYABENO
9024070;-0.14978;-78.98008;Rio Mulaut;SANTO DOMINGO;SANTO DOMINGO
9024076;-0.17363;-79.52404;Rio Agua S;MANABI;EL CARMEN
9024083;-0.17311;-79.45804;Rio Chila;SANTO DOMINGO;SANTO DOMINGO
9024084;-0.19057;-78.95945;Rio El Dor;SANTO DOMINGO;SANTO DOMINGO
9024085;-0.18798;-78.9299;Rio Mulaut;SANTO DOMINGO;SANTO DOMINGO
9024091;-0.1933;-78.47426;;PICHINCHA;QUITO
9024092;-0.19034;-78.4386;Rio Machan;PICHINCHA;QUITO
9024118;-0.1688;-79.10893;Rio Meme C;SANTO DOMINGO;SANTO DOMINGO
9024121;-0.10059;-77.52251;Rio Quijos;NAPO;EL CHACO
9024126;-0.15715;-77.74374;Rio Salado;NAPO;EL CHACO
9024135;-0.18628;-76.83724;;SUCUMBIOS;SHUSHUFINDI
9024139;-0.19234;-77.507;Rio Machac;NAPO;EL CHACO
9024140;-0.17989;-77.42584;Rio Machac;NAPO;EL CHACO
9024143;-0.17546;-78.38229;Rio Chiche;PICHINCHA;QUITO
9024146;-0.20894;-76.83149;Rio Jivino;ORELLANA;LA JOYA DE
