index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
103,JUBONES,H0529,JUBONES DJ S.FRANCISCO,-3.310405,-79.51124,712,145648,9035285,Jubones,El Oro,Zaruma,Abanin,R0
104,JUBONES,H0530,JUBONES EN USHCURRUMI,-3.32375,-79.605416,282,145665,9035301,Jubones,El Oro,Pasaje,Uzhcurrumi,R0
105,JUBONES,H0531,CASACAY AJ JUBONES,-3.327083,-79.717083,134,0,9035579,Casacay,El Oro,Pasaje,Casacay,R0
109,JUBONES,H0547,RIRCAY EN P.ALTO SALTANA,-3.30875,-79.512083,249,145648,9035285,Jubones,Azuay,Pucara,San Rafael Sharug,R0
110,ARENILLAS,H0571,RASPA EN ASERRIO(BUENA VISTA),-3.397741,-79.807917,80,145909,9035869,San Agustin,El Oro,Pasaje,Buenavista,R0
111,ARENILLAS,H0572,Caluguro ABT Canal de Riego,-3.5020833262,-79.8787500053999,55,0,9036107,Calaguro,El Oro,Santa Rosa,Bellamaria,R0
112,SANTA ROSA,H0573,SANTA ROSA EN EL VADO,-3.556667,-79.946667,80,0,9036369,Santa Rosa,El Oro,Santa Rosa,La Avanzada,R0
113,ARENILLAS,H0574,ARENILLAS EN ARENILLAS,-3.565514,-80.048568,20,0,9036653,Estero Jumon,El Oro,Arenillas,Arenillas,R0
114,PUYANGO,H0586,Calera AJ Amarillo,-3.67791665882,-79.6454166725,680,146381,9036976,La Calera,El Oro,Zaruma,Malvas,R0
115,PUYANGO,H0587,PINDO A.J. AMARILLO,-3.76375,-79.635503,520,0,9037158,Pindo,El Oro,Portovelo,Portovelo,R0
116,PUYANGO,H0588,AMARILLO EN PORTOVELO,-3.712331,-79.6123319999999,660,0,9036977,Amarillo,El Oro,Portovelo,Portovelo,R0
117,PUYANGO,H0589,PUYANGO AJ MARCABELI,-3.826255,-79.929569,349,0,9037435,Puyango,El Oro,Paltas,Orianga,R0
118,PUYANGO,H0590,MARCABELI AJ PUYANGO,-3.811254,-79.9345799999999,450,0,9037431,Marcabeli,El Oro,Marcabeli,Marcabeli,R0
119,PUYANGO,H0591,PUYANGO EN CPTO.MILITAR (PTE.CARRETERA),-3.882917,-80.0798269999999,300,146959,9037858,Puyango,El Oro,Las Lajas,La Libertad,R0
120,PUYANGO,H0592,MOROMORO EN MOROMORO,-3.688333,-79.7408329999999,800,146614,9037455,Moromoro,El Oro,Pinas,Moromoro (Cab. En El Vado),R0
121,CHIRA,H0616,ALAMOR EN SAUCILLO(DJ CELICA),-4.25875,-80.19625,247,147833,9039494,Alamor,Loja,Zapotillo,Garzareal,R0
122,CATAMAYO,H0620,Catamayo en Pte. Santa Rosa,-4.156666667,-79.8612500052999,640,147338,9039050,Catamayo,Loja,Sozoranga,Sozoranga,R0
123,CHIRA,H0621,JORUPE EN AMALUZA,-4.581285,-79.433684,1762,0,9040740,Amaluza,Loja,Espindola,Amaluza,R0
124,CATAMAYO,H0622,Malacatus en Malacatus,-4.21756452229,-79.2533978684,1657,0,9039213,Malacatos,Loja,Loja,Malacatos,R0
125,JUBONES,H0625,ALAMOR EN PTE.MERCADILLO,-4.032916,-80.0093339999999,1080,0,9038824,Malatanga,Loja,Saraguro,Urdaneta (Paquishapa),R0
126,CATAMAYO,H0626,MACARA EN PTE. INTERNACIONAL,-4.392305,-79.9635279999999,435,147700,9039887,Macara,Loja,Macara,Macara,R0
127,CATAMAYO,H0628,CATAMAYO DJ GUAYABAL,-4.007083,-79.4120769999999,1120,147273,9038261,Catamayo,Loja,Catamayo,San Pedro De La Bendita,R0
128,AGUARICO,H0682,Due AJ Aguarico,0.027777778,-77.39045016,0,140519,9023501,Due,Sucumbios,Gonzalo Pizarro,Lumbaqui,R0
129,NAPO,H0712,AZUELA AJ SAN PEDRO,0.0812500057639,-77.9122771358999,3417,0,9023426,Azuela,Sucumbios,Gonzalo Pizarro,El Reventador,R0
130,NAPO,H0714,COCA EN SAN RAFAEL,-0.101167,-77.5786669999999,1160,140783,9024121,Quijos,Napo,El Chaco,Gonzalo Diaz De Pineda,R0
131,NAPO,H0715,QUIJOS AJ BOMBON,-0.285,-77.747917,1380,140956,9024502,Quijos,Napo,El Chaco,Gonzalo Diaz De Pineda,R0
133,NAPO,H0718,QUIJOS EN BAEZA,-0.456251,-77.885416,1770,141154,9024983,Quijos,Napo,Quijos,San Francisco De Borja,R0
134,NAPO,H0719,QUIJOS DJ OYACACHI,-0.30616,-77.7703259999999,1490,140956,9024502,Quijos,Napo,El Chaco,Santa Rosa,R0
135,NAPO,H0720,MISAHUALLI EN COTUNDO,-0.84625,-77.7987499999999,800,141904,9026643,Misahualli,Napo,Archidona,Cotundo,R0
136,NAPO,H0721,JATUNYACU DJ ILOCULIN,-1.087917,-77.9188649999999,570,142072,9027000,Jatunyacu,Napo,Tena,Talag,R0
137,NAPO,H0722,YANAHURCO DJ VALLE,-0.694175,-78.283325,3590,0,9025708,Valle,Napo,Archidona,Archidona,R0
138,NAPO,H0723,BORJA AJ QUIJOS,-0.437916660617,-77.8187500065999,1620,0,9024980,Borja,Napo,Quijos,Sumaco,R0
139,NAPO,H0726,Coca AJ Malo,-0.152083327,-77.6320833397,1250,140783,9024121,Quijos,Napo,El Chaco,Gonzalo Diaz De Pineda,R0
141,NAPO,H0729,OYACACHI AJ QUIJOS,-0.325416660486,-77.8104166724999,1520,140963,9024515,Oyacachi,Napo,El Chaco,El Chaco,R0
142,NAPO,H0731,COSANGA AJ QUIJOS,-0.469583,-77.85875,1740,141420,9025492,Cosanga,Napo,Quijos,Baeza,R0
143,NAPO,H0733,QUIJOS AJ BORJA,-0.407083,-77.829166,1635,141143,9024860,Quijos,Napo,Quijos,Francisco De Borja,R0
144,NAPO,H0735,COCA EN CODO SINCLAIR,-0.197083327275,-77.6837500062,0,140783,9024121,Quijos,Napo,El Chaco,Gonzalo Diaz De Pineda,R0
145,PASTAZA,H0764,CALAMACA DJ Q.HUARCUSACHA,-1.246389,-78.8261109999999,3440,0,9027651,Calamaca,Tungurahua,Ambato,San Fernando (Pasa San Fernando),R0
