index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
140,NAPO,H0719,QUIJOS DJ OYACACHI,-0.30616,-77.770326,1490,140956,9024502,RIO QUIJOS,NAPO,EL CHACO,SANTA ROSA,R0
141,NAPO,H0720,MISAHUALLI EN COTUNDO,-0.84625,-77.79875,800,141904,9026643,RIO MISAHUALLI,NAPO,ARCHIDONA,COTUNDO,R0
142,NAPO,H0721,JATUNYACU DJ ILOCULIN,-1.087917,-77.918865,570,142072,9027000,RIO JATUNYACU,NAPO,TENA,TALAG,R0
143,NAPO,H0722,YANAHURCO DJ VALLE,-0.694175,-78.283325,3590,0,9025708,RIO VALLE,NAPO,ARCHIDONA,ARCHIDONA,R0
144,NAPO,H0723,BORJA AJ QUIJOS,-0.437916660616501,-77.8187500065662,1620,0,9024980,RIO BORJA,NAPO,QUIJOS,SUMACO,R0
145,NAPO,H0724,Sardinas AJ Quijos,-0.38208332743759,-77.8254166728859,1195,0,9024730,RIO SARDINAS GRANDE,NAPO,EL CHACO,SARDINAS,R0
146,NAPO,H0726,Coca AJ Malo,-0.152083327000303,-77.6320833397325,1250,140783,9024121,RIO QUIJOS,NAPO,EL CHACO,GONZALO DIAZ DE PINEDA,R0
147,NAPO,H0728,SALADO AJ COCA(AJ GUAYTARINGO),-0.196249993841232,-77.7012500062806,1480,140786,9024126,RIO SALADO,NAPO,EL CHACO,SANTA ROSA,R0
148,NAPO,H0729,OYACACHI AJ QUIJOS,-0.325416660486386,-77.8104166725436,1520,140963,9024515,RIO OYACACHI,NAPO,EL CHACO,EL CHACO,R0
149,NAPO,H0731,COSANGA AJ QUIJOS,-0.469583,-77.85875,1740,141420,9025492,RIO COSANGA,NAPO,QUIJOS,BAEZA,R0
150,NAPO,H0733,QUIJOS AJ BORJA,-0.407083,-77.829166,1635,141143,9024860,RIO QUIJOS,NAPO,QUIJOS,SAN FRANCISCO DE BORJA,R0
151,NAPO,H0735,COCA EN CODO SINCLAIR,-0.197083327275075,-77.6837500061807,0,140783,9024121,RIO QUIJOS,NAPO,EL CHACO,GONZALO DIAZ DE PINEDA,R0
152,PASTAZA,H0764,CALAMACA DJ Q.HUARCUSACHA,-1.246389,-78.826111,3440,0,9027651,,TUNGURAHUA,AMBATO,SAN FERNANDO (PASA SAN FERNANDO),R0
153,PASTAZA,H0772,PUMACUNCHI EN H.PATOCOCHA,-0.87014276766035,-78.6312500059415,2650,141836,9026501,RIO PUMACUNCHI,COTOPAXI,LATACUNGA,GUAYTACAMA,R0
154,PASTAZA,H0773,ALAQUEZ AJ CUTUCHI(COL.S.RODR),-0.902083327026884,-78.6245833387235,2700,141777,9026346,RIO ALAQUEZ,COTOPAXI,LATACUNGA,LATACUNGA,R0
155,PASTAZA,H0774,CUTUCHI EN LATACUNGA,-0.93624999395968,-78.6179166724038,2590,141837,9026502,RIO CUTUCHI,COTOPAXI,LATACUNGA,LATACUNGA,R0
156,PASTAZA,H0775,PUMACUNCHI EN LATACUNGA,-0.896839789362167,-78.6312500059415,2600,141836,9026501,RIO PUMACUNCHI,COTOPAXI,LATACUNGA,LATACUNGA,R0
157,NAPO,H0776,CUNUYACU EN LATACUNGA,-0.929801355213062,-78.619801367089,2585,0,9026442,RIO YANAYACU,COTOPAXI,LATACUNGA,LATACUNGA,R0
158,PASTAZA,H0781,VERDE AJ PASTAZA,-1.400416,-78.29875,1495,0,9028088,RIO VERDE,TUNGURAHUA,BANOS DE AGUA SANTA,RIO VERDE,R0
159,PASTAZA,H0783,OZOGOCHE EN LOS LAGOS,-2.251111,-78.6,3756,0,9031172,,CHIMBORAZO,ALAUSI,ACHUPALLAS,R0
160,PASTAZA,H0785,CHIBUNGA EN CALPI,-1.6515085163668,-78.7506751948217,3020,143034,9029223,RIO CHIBUNGA,CHIMBORAZO,RIOBAMBA,CALPI,R0
