index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
100,9021534,0.64796,-77.53905,Rio Chingu,Carchi y S,CARCHI,TULCAN,R0
101,9021582,0.69154,-78.38336,Rio Lita,Imbabura,IMBABURA,SAN MIGUEL,R0
102,9021585,0.63715,-79.37147,Rio Popa,Esmeraldas,ESMERALDAS,RIOVERDE,R0
103,9021641,0.64641,-78.92764,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
104,9021642,0.6329,-78.15154,Rio Mira,Carchi y I,CARCHI,MIRA,R0
105,9021643,0.60478,-77.76525,Rio Guasma,Carchi,CARCHI,SAN PEDRO,R0
106,9021644,0.61299,-77.73904,Rio Obispo,Carchi,CARCHI,SAN PEDRO,R0
107,9021681,0.62238,-77.48178,Rio Chingu,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
108,9021688,0.61684,-79.98473,,Esmeraldas,ESMERALDAS,MUISNE,R0
109,9021692,0.62568,-79.55811,Rio Viche,Esmeraldas,ESMERALDAS,QUININDE,R0
110,9021696,0.59166,-78.11336,Rio Santia,Carchi,CARCHI,MIRA,R0
111,9021701,0.63787,-79.02321,Rio Chimba,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
112,9021712,0.58657,-79.60278,Rio Viche,Esmeraldas,ESMERALDAS,QUININDE,R0
113,9021713,0.58505,-77.47761,,,,,R0
114,9021733,0.58527,-79.11788,Rio Hoja B,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
115,9021738,0.57692,-79.09057,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
116,9021769,0.57428,-79.56802,,Esmeraldas,ESMERALDAS,QUININDE,R0
117,9021779,0.56354,-79.67062,Estero Bam,Esmeraldas,ESMERALDAS,QUININDE,R0
118,9021780,0.57236,-79.65113,Rio Viche,Esmeraldas,ESMERALDAS,QUININDE,R0
119,9021783,0.5695,-79.90088,,Esmeraldas,ESMERALDAS,MUISNE,R0
120,9021808,0.60649,-78.62784,Rio Rumiya,Esmeraldas,ESMERALDAS,SAN LORENZO,R0
121,9021830,0.56933,-78.91812,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
122,9021843,0.56994,-78.13141,Rio Mira,Carchi y I,IMBABURA,IBARRA,R0
123,9021881,0.53648,-79.99765,,Esmeraldas,ESMERALDAS,MUISNE,R0
124,9021901,0.53481,-79.95124,Rio Muisne,Esmeraldas,ESMERALDAS,MUISNE,R0
125,9021902,0.58436,-78.84031,Rio Bravo,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
126,9021913,0.52657,-78.18125,Rio Palaca,Imbabura,IMBABURA,SAN MIGUEL,R0
127,9021914,0.52582,-78.12074,Rio Mira,Carchi y I,CARCHI,MIRA,R0
128,9021926,0.53206,-77.82412,Rio San Ga,Carchi,CARCHI,MONTUFAR,R0
129,9021927,0.55048,-77.78325,Rio Rumich,Carchi,CARCHI,MONTUFAR,R0
130,9021956,0.57948,-78.97093,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
131,9021963,0.50897,-78.11607,Rio Piguch,Imbabura,IMBABURA,IBARRA,R0
132,9021970,0.50691,-78.1075,Rio Mira,Carchi y I,CARCHI,MIRA,R0
133,9022001,0.50705,-79.97715,,Esmeraldas,ESMERALDAS,MUISNE,R0
134,9022006,0.575,-78.69032,Rio Barbud,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
135,9022009,0.50757,-79.89064,Rio Sucio,Esmeraldas,ESMERALDAS,MUISNE,R0
136,9022024,0.56408,-79.4609,Rio Esmera,Esmeraldas,ESMERALDAS,QUININDE,R0
137,9022030,0.48454,-78.09092,Rio Chota,Carchi y I,CARCHI,MIRA,R0
